	ERV3-16A3_I-int	ERVL-B4-int	ERVL-E-int	HERVH-int	HERVL-int	LTR12C	LTR16A	LTR16C	LTR33	LTR78	LTR8	MER21B	MER21C	MER4-int	MER41-int	MER52A	MLT2A2	MLT2B1	MLT2B3	MLT2B4
S001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S003	0.02690085	0.02058545	0.02404466	0.02129306	0.02548762	0.01069114	0.01946567	0.02036301	0.01833842	0.02148553	0.01845613	0.01999867	0.02059594	0.02879623	0.02518213	0.01176639	0.02699995	0.02299971	0.02418984	0.02466317
S004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S006	-0.05541949	-0.05780853	-0.05730013	-0.05756354	-0.05219167	-0.07887736	-0.05085625	-0.05279237	-0.05086025	-0.05436559	-0.06014481	-0.05605803	-0.05322311	-0.05713082	-0.06267678	-0.05161945	-0.05449267	-0.04923345	-0.05256302	-0.0488572
S007	0.00553665	0.00710167	0.00645393	0.00415122	0.00666081	-0.00341203	0.00289479	0.00564514	0.00461165	0.00312928	0.00619999	0.00303069	0.00243508	0.00758241	0.0058908	0.00108451	0.00503675	0.00432812	0.00327605	0.00279413
S008	-0.01472074	-0.01756434	-0.01247259	-0.01925553	-0.01557547	-0.03070653	-0.01648217	-0.01341252	-0.01414862	-0.01067898	-0.01468262	-0.01228615	-0.01213417	-0.0075261	-0.00564388	-0.01346843	-0.01426173	-0.0140484	-0.01137413	-0.01727807
S009	-0.0142301	-0.01384332	-0.01253078	-0.01299268	-0.01204167	-0.00419947	-0.00882846	-0.01260825	-0.01173792	-0.01357504	-0.01198989	-0.01365143	-0.0143763	-0.02251101	-0.02591371	-0.00713992	-0.01257992	-0.01633512	-0.01512778	-0.01094194
S010	-0.03465031	-0.03526389	-0.03635793	-0.03127691	-0.02999392	-0.03318834	-0.03012533	-0.02804094	-0.03035954	-0.0327873	-0.03573951	-0.03390627	-0.03605949	-0.03785884	-0.04147553	-0.02875289	-0.03004026	-0.02765729	-0.02917885	-0.02834993
S011	-0.00914744	-0.00811701	-0.01008	-0.00843455	-0.00815849	-0.01395372	-0.01244675	-0.00927637	-0.00959855	-0.01050598	-0.01090053	-0.01291612	-0.01213496	-0.01269139	-0.00588363	-0.008323	-0.01141004	-0.00818385	-0.00741455	-0.01164865
S012	-0.01685498	-0.0192957	-0.01582281	-0.02228948	-0.01736172	-0.02176124	-0.0149241	-0.01619936	-0.01513829	-0.01634225	-0.01886122	-0.01493062	-0.01465346	-0.01713861	-0.01288509	-0.01078164	-0.01436545	-0.01814855	-0.01448686	-0.01873908
S013	-0.03941029	-0.04316777	-0.0397051	-0.03804086	-0.03846756	-0.04830214	-0.03150587	-0.04189676	-0.03555546	-0.03623786	-0.04125467	-0.03875556	-0.04042252	-0.04928349	-0.04535749	-0.03429235	-0.03889723	-0.03441812	-0.03947413	-0.03485238
S014	-0.00186268	0.00032934	-0.00396071	-0.00537564	-0.00118151	-0.00745186	-0.0050676	-0.00296961	-0.00470297	-0.00399603	-0.00566765	-0.00790876	-0.00430942	-0.00443465	-0.0053371	-0.00663506	-0.00465032	-0.00239114	-0.00437018	-0.00406792
S015	0.00940042	0.01105068	0.01533971	0.0104763	0.00914691	0.01058518	0.00868031	0.01107771	0.01013788	0.01232364	0.01293697	0.01213031	0.01325904	0.02410263	0.0249088	0.00535161	0.01258414	0.01097391	0.01214663	0.01194941
S016	-0.03015106	-0.02846403	-0.02655137	-0.02529618	-0.02724596	-0.02914852	-0.02369033	-0.02979098	-0.02835255	-0.02641265	-0.0321323	-0.02809206	-0.03053593	-0.0335456	-0.03568491	-0.02237476	-0.02818382	-0.02270773	-0.02951478	-0.02283346
S017	-0.0355041	-0.03893895	-0.03925546	-0.03644318	-0.03010928	-0.047319	-0.03469122	-0.03410526	-0.03269124	-0.0374956	-0.04004991	-0.03811642	-0.03741977	-0.0433866	-0.04550781	-0.03188994	-0.03180158	-0.03059007	-0.03351634	-0.03120416
S018	-0.00792366	-0.00624418	-0.00884773	-0.00359577	-0.00776675	-0.02062893	-0.00932196	-0.00786808	-0.00799213	-0.00618736	-0.01175401	-0.00597462	-0.00916508	-0.00517791	-0.00609251	-0.01065137	-0.01491486	-0.0030653	-0.00810587	-0.00579041
S019	0.00733339	0.00517991	0.00866044	0.00721978	0.00535921	0.01047216	0.0051219	0.00892506	0.00591665	0.00690763	0.00586976	0.00655398	0.00700515	0.00821942	0.01495657	0.00795862	0.00906899	0.00523236	0.00689357	0.00324802
S020	-0.04584091	-0.0498558	-0.04652159	-0.04349821	-0.04287078	-0.04192844	-0.03785404	-0.04228265	-0.04014401	-0.04305059	-0.04396777	-0.04137843	-0.04480898	-0.05677819	-0.0557743	-0.0343375	-0.04087327	-0.03968597	-0.04136139	-0.03942602
S021	-0.0053246	-0.00707258	-0.00615287	-0.0087421	-0.00498999	-0.010965	-0.00656579	-0.00298577	-0.00531267	-0.00836809	-0.00403831	-0.00650582	-0.00485219	-0.00387151	0.00307073	-0.0039562	-0.00473115	-0.00425991	-0.00412028	-0.008827
S022	-0.01044418	-0.0144172	-0.01131276	-0.00977151	-0.0077972	-0.00754871	-0.00787246	-0.01216642	-0.01228811	-0.01360919	-0.01337676	-0.01251229	-0.01472586	-0.024208	-0.01923754	-0.00875679	-0.00735753	-0.01091928	-0.01115664	-0.0121739
S023	-0.03212727	-0.03405333	-0.03241483	-0.02530437	-0.03066639	-0.02913197	-0.02659383	-0.02785672	-0.02757043	-0.03097145	-0.03436442	-0.03127512	-0.03409528	-0.0376121	-0.03700372	-0.02572395	-0.02737283	-0.02765204	-0.02528272	-0.02476099
