	ERV3-16A3_I-int	ERVL-B4-int	ERVL-E-int	HERVH-int	HERVL-int	LTR12C	LTR16A	LTR16C	LTR33	LTR78	LTR8	MER21B	MER21C	MER4-int	MER41-int	MER52A	MLT2A2	MLT2B1	MLT2B3	MLT2B4
S001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S003	-0.00904235	0.00253363	-0.00457919	-0.0166978	0.00131687	0.058	0.00089223	0.00998158	0.00234865	0.00138984	3.95e-05	-0.0024001	-0.0062832	0.00327512	-0.03119826	0.0233825	0.0108177	0.00590826	0.0017435	0.00092377
S004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S006	0.15919307	0.15622985	0.16294601	0.4053223	0.17182664	0.739905	0.16822603	0.17813938	0.15238123	0.16152221	0.234464	0.1957827	0.1822274	0.13792882	0.16427459	0.2872468	0.2260408	0.16768245	0.1910019	0.17938717
S007	0.02144949	0.02115618	0.02228095	0.0632664	0.0223061	0.0984758	0.0266385	0.0292695	0.02183882	0.01354175	0.0383434	0.0232727	0.0335099	0.02530046	0.0400967	0.0492674	0.0434878	0.02600815	0.0416581	0.0285353
S008	0.06831468	0.0773198	0.0861019	0.2156574	0.0858165	0.4145015	0.0923568	0.0920394	0.09159913	0.07012002	0.1281585	0.119438	0.0990643	0.05451855	0.0764906	0.1454095	0.1272384	0.0848951	0.0935525	0.0859259
S009	0.02422837	0.03134225	0.02833409	0.0646375	0.02404617	0.1324592	0.01348012	0.03087845	0.02138173	0.03293767	0.0379197	0.0248446	0.0215485	0.03792466	0.0450951	0.0277851	0.0341416	0.00872094	0.0143467	0.0301781
S010	0.02713173	0.02752152	0.03105696	0.0984749	0.03786874	0.1618273	0.03024453	0.03615098	0.02816405	0.03490293	0.0475185	0.0282666	0.0315513	0.03661262	0.02589209	0.0479829	0.0495516	0.02592105	0.0286447	0.03167947
S011	0.01673403	0.01842947	0.02118795	0.0497747	0.0237477	0.0487226	0.0198736	0.0208986	0.01570285	0.01853795	0.0329722	-0.0036146	0.0212746	0.01943964	0.0320757	0.0269465	0.0258746	0.02024825	0.0267208	0.0092565
S012	0.04389728	0.05153175	0.0629147	0.1286933	0.0542761	0.2364574	0.0513475	0.0544691	0.05202349	0.04908472	0.080478	0.0724621	0.0615691	0.04910589	0.0647731	0.0814716	0.0767481	0.0457984	0.0469762	0.0500093
S013	0.09756105	0.11005246	0.11214043	0.2734154	0.10459587	0.4117096	0.10058222	0.11349665	0.10144356	0.11668533	0.1643278	0.1278318	0.1112058	0.09325032	0.1267486	0.1626247	0.1382513	0.11252035	0.1091761	0.1017984
S014	0.02242039	0.02474523	0.02407985	0.0554995	0.0234271	0.1213562	0.0352118	0.0309168	0.03005801	0.02275105	0.0457703	0.0362451	0.0422755	0.02174121	0.0413299	0.0590062	0.0414819	0.02629135	0.0489301	0.0330749
S015	-0.07091198	-0.06053269	-0.06204028	-0.1244093	-0.07571626	-0.1437933	-0.06000523	-0.06407512	-0.05042749	-0.07387053	-0.0682216	-0.0660648	-0.06322805	-0.07189221	-0.08069503	-0.0754385	-0.0591014	-0.07184947	-0.0658067	-0.06929544
S016	0.04207009	0.03971302	0.04622265	0.1169525	0.04404117	0.2107068	0.05095052	0.05136815	0.04198254	0.03978798	0.072533	0.0566648	0.0470154	0.04470497	0.0520826	0.0611843	0.0540987	0.03677155	0.0381801	0.0560997
S017	0.09304217	0.10419702	0.10534281	0.2560962	0.10942034	0.4343223	0.10373223	0.11473688	0.09215349	0.10842981	0.1588269	0.1268878	0.1125043	0.09690863	0.10365989	0.1573998	0.1343023	0.11530725	0.1198789	0.11415567
S018	-0.04742247	-0.04455002	-0.05654803	-0.1034261	-0.05020409	-0.1408169	-0.04366846	-0.0416653	-0.033109	-0.05341621	-0.0619295	-0.0533063	-0.0398366	-0.0439096	-0.03464487	-0.047906	-0.0438763	-0.04978248	-0.0411422	-0.04752012
S019	-0.01427891	-0.01856302	-0.0084473	-0.0204954	-0.0088243	-0.0237483	-0.0172944	-0.0197021	-0.00854997	-0.01718384	-0.0130105	-0.0070101	-0.0133881	-0.02509011	-0.0154043	-0.0181921	-0.0173415	-0.0185692	-0.0168261	-0.0148152
S020	0.08811225	0.08942454	0.10732853	0.235544	0.08895837	0.3340926	0.08539022	0.10031645	0.08021422	0.09367423	0.1351021	0.1049225	0.0972817	0.08639339	0.1153449	0.1143469	0.1052358	0.07845415	0.0892643	0.1031413
S021	-0.00046313	0.00360365	0.0150405	0.0322751	0.0095486	0.0608372	0.006763	-0.0028976	0.01214282	0.00749942	0.0181486	0.0257983	0.0009834	-0.00448871	-0.0016921	0.0019529	0.0149008	0.0149644	0.0010004	0.0006139
S022	0.03310827	0.04142582	0.04820108	0.0932288	0.03106787	0.1531798	0.03053182	0.04850065	0.03881231	0.03972463	0.0586068	0.0539011	0.045539	0.04869071	0.0501662	0.0497549	0.0542871	0.03059442	0.0387391	0.0436921
S023	-0.0116707	0.00736319	-0.00658058	-0.0022478	-0.00219784	-0.006925	-0.01462844	-0.00344196	-0.00580813	0.00390085	-0.0042511	-0.0112728	-0.0088685	0.01003387	-0.00982941	-0.0161005	-0.0089147	-0.00927205	-0.0058164	-0.00646354
